Scenario,Driver,Scenario_statement,LULC_class_target,Mechanism_ID,Mechanism_description,Questions/comments
EI_NAT,land management,strong limitation of settlement growth and land fragmentation,Urban,Land_fragment,"reduction of urban probability in non-fragmented areas? There a range of measures of landscape fragmentation, perhaps effective mesh density?",
EI_SOC,land management,"Land management is spatially zoned: areas for agriculture, residence, recreation, biodiversity promotion are spatially strongly separated.",Urban,Build_zone,probability of Urban transitions increased inside building zones,
EI_NAT,settlement development,Development of small towns in mountain areas with spatial restrictions for settlement development.,Urban,Urban_elev,Use elevation raster to identify cells in mountainous areas and increasing probability to Urban,What elevation to use and what constitutes a town?
EI_NAT,settlement development,Abandonment of settlements in remote rural areas,Urban,Urban_rural,Use urban/rural typology to identify urban cells in rural areas and increase probability of transition to other classes,What is enough urban area to be a settlement?
EI_NAT,settlement development,No further urban sprawl.,Urban,Build_zone,Decrease probability of transition to urban outside the building zones or increase within?,
EI_CUL,settlement development,Persistence of villages in mountainous areas,Urban,Urban_elev,set probability of loss of urban area above a given elevation to zero,This maybe of limited need because the only transition from Urban is to Static and the rate of this transition in the ref scenario falls to 0% in 2050
EI_CUL,settlement development,Revival of settlements in remote rural areas,Urban,Urban_rural,Use urban/rural typology to identify urban cells in rural areas and increase probability of transition to other classes,
EI_CUL,settlement development,No further urban sprawl,Urban,Build_zone,Decrease probability of transition to urban outside the building zones or increase within?,
EI_SOC,settlement development,Development of small towns in mountain areas with spatial restrictions for settlement development.,Urban,Urban_elev,Use elevation raster to identify cells in mountainous areas and increasing probability to Urban,What elevation to use and what constitutes a town?
EI_SOC,settlement development,Abandonment of settlements in remote rural areas,Urban,Urban_rural,Use urban/rural typology to identify urban cells in rural areas and increase probability of transition to other classes,What is enough urban area to be a settlement?
EI_SOC,settlement development,No further urban sprawl.,Urban,Build_zone,Decrease probability of transition to urban outside the building zones or increase within?,
BAU,settlement development,Rural exodus from mountain communes to cities,Urban,Urban_elev,Use elevation raster to identify cells in mountainous areas and decrease probability to Urban,
BAU,settlement development,Level of urban sprawl as today.,Urban,Build_zone,No change to dynamics?,
GR_EX,settlement development,Increase in buildings outside the construction zone;Industrial areas develop in an uncoordinated manner. ,Urban,Build_zone,Minor increase in probability of cells to urban outside the building zones,To get %increase: What is historic rate of urban expansion inside the building zone vs. outside?
EI_NAT ,Sites of agricultural production,Soil-dependent agriculture in rural areas,Alp_Past,,,What differentiaties soil dependent agriculture here from the other scenario's which qualify it with either extensive or intensive?
EI_NAT ,Sites of agricultural production,Abandonment of poorly accessible marginal land ,Alp_Past,,,What is marginal land: Low accessibility should correlate with higher distance from roads but what threshold? Elevation component?
EI_CUL,Sites of agricultural production,Extensive soil-dependent agriculture in rural areas,Permanent crops?,,,Extensive refers to area of input?
EI_CUL,Sites of agricultural production,Extensive cultivation of poorly accessible marginal land,Alp_Past,,decrease in probability of poorly accesible cells transitioning from Alp_past to other classes,
EI_SOC,Sites of agricultural production,Intensive soil-dependent agriculture in rural areas,,,,"There is data on current agricultural surfaces and biodiversity promotion areas that could perhaps be integrated: https://geodienste.ch/services/lwb_nutzungsflaechen agricultural surfaces as polygons
https://geodienste.ch/services/lwb_biodiversitaetsfoerderflaechen biodiversity promotion areas"
EI_SOC,Sites of agricultural production,Abandonment of poorly accessible marginal land,,,,
BAU,Sites of agricultural production,Intensive soil-dependent agriculture in rural areas,,,,
BAU,Sites of agricultural production,Abandonment of poorly accessible marginal land,,,,
GR_EX,Sites of agricultural production,Crop production on all arable soils. Livestock farming on all grassland areas with high energy input.,Grassland?,,reduction in probability of grassland transitioning to other classes,Is this correct to perturb as the statement only suggests that grassland is used for livestock but this does not necessarily imply more or less agricultural activities?
EI_NAT,Protected areas,"PAs are expanded and newly established (20% of Swiss land area protected by 2030, 30% by 2060); Site selection for new PAs prioritizing species and habitats important for biodiversity, ecosystem processes and functions",All natural/semi-natural land covers,,Reduction of probability of transition to non-natural land classes inside PAs,The main problem is the establishment of new PAs. We should ideally use the results of the A4 prioritization exercise but these won't be available for a while.  In the meantime we can alter probs in existing PAs pergaps establish Parc Adula but this will not increase PA coverage to sufficient levels that the scenarios describe.
EI_NAT,Protected areas,site-specific management under IUCN category Ia or IV,All natural/semi-natural land covers,,,
EI_CUL,Protected areas,"PAs are expanded and newly established (17% of Swiss land area protected by 2030, 25% by 2060);Site selection for new PAs prioritizing species and landscape elements important for local communities and cultural heritage;",All natural/semi-natural land covers,,,
EI_CUL,Protected areas, site-specific management under IUCN categories V or VI ,All natural/semi-natural land covers,,,
EI_SOC,Protected areas,"PAs are expanded and newly established (17% of Swiss land area protected by 2030, 22% by 2060); Site selection for new PAs prioritizing ecosystems important for NCP provision.",All natural/semi-natural land covers,,,
EI_SOC,Protected areas,site-specific management under IUCN categories II or IV,All natural/semi-natural land covers,,,
BAU,Protected areas,"PAs are expanded and newly established (15% of Swiss land area protected by 2030, 17% by 2060);Site selection for new PAs prioritized
on agricultural unproductive land,
or to protect habitats of endangered species.",All natural/semi-natural land covers,,,
BAU,Protected areas,site-specific management under  IUCN categories II or IV,All natural/semi-natural land covers,,,
GR_EX,Protected areas,"PAs are diminished (15% of Swiss land area protected by 2030, 10% by 2060); Remaining sites on agricultural unproductive land. ",All natural/semi-natural land covers,,,
GR_EX,Protected areas, management under  IUCN category II -,All natural/semi-natural land covers,,,
,,,,,,
,,,,,,
,,,,,,
